Lisinopril,7,Capsules,14,234.87,200.44,3/3/2021,23/12/2025,CVB45,MedLife Innovations
Omeprazole,2,Suppositories,13,123.43,100.45,12/8/2020,12/3/2025,FHG54,LifeGen Pharma
Ibuprofen (200 mg),8,Tablets,15,120.42,200.56,1/1/2022,11/2/2024,DP10664,MedLife Innovations
Loratadine (10 mg),2,Suppositories,13,123.43,100.45,12/8/2020,12/3/2025,FHG54,MedixCare Industries
Cetirizine (10 mg,8,Capsules,14,234.87,200.44,3/3/2021,23/12/2025,CVB45,MedLife Innovations
Amoxicillin (500 mg),7,Capsules,14,234.87,200.44,3/3/2021,23/12/2025,CVB45,VivaMed Labs
Ciprofloxacin (500 mg),2,Powders,13,123.43,100.45,12/8/2020,12/3/2025,FHG54,CureAll Pharmaceuticals
Diphenhydramine (25 mg),8,Drops,15,12.42,20.56,1/1/2022,11/2/2024,CP10964,MedixCare Industries
Clear Eyes (no specific dosage),8,Drops,15,128.42,209.56,1/1/2023,11/2/2027,CP10964,CureAll Pharmaceuticals
Pataday (0.1% strength),4,Drops,15,18.42,29.56,1/1/2023,11/2/2027,CP10964,VivaMed Labs
Lumigan (0.01% or 0.03% strength),4,Drops,15,198.42,209.56,1/1/2023,11/2/2027,CP10964,MedLife Innovations
Albuterol (90 mcg per inhalation),2,Inhalers,13,300.43,500.45,12/8/2020,12/3/2025,FHG54,VivaMed Labs
Acetaminophen liquid (160 mg/5 mL),8,Liquids,14,234.87,200.44,3/3/2021,23/12/2025,CVB45,CureAll Pharmaceuticals
Epinephrine (0.3 mg/mL),10,Injectables,18,100.04,159.79,11/12/2022,11/12/2025,QDF45,MediPharma Solutions
